num,nombre,partido,eleccion,entidad,camara,propietario,twitter,facebook,youtube,pagina_personal
1,Abreu Artiñano Rocío Adriana,PRI,Mayoría Relativa,Campeche,D,PROPIETARIO,RAbreuA,Rocio Abreu,,
2,Aceves del Olmo Carlos Humberto,PRI,Representación Proporcional,Distrito Federal,D,PROPIETARIO,,Carlos Aceves del Olmo,,
3,Acosta Croda Rafael,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO,AcostaCrodaMX,Rafael Acosta Croda,Rafael Acosta Croda,
4,Acosta Montoya Rubén,PVEM,Representación Proporcional,Chihuahua,D,PROPIETARIO,,,,
5,Acosta Peña Brasil Alberto,PRI,Representación Proporcional,México,D,PROPIETARIO,AcolhuaTexcoco,Brasil Alberto Acosta Peña,,
6,Adame Alemán Juan Pablo,PAN,Representación Proporcional,Morelos,D,PROPIETARIO,JuanPabloAdame,Juan Pablo Adame,JuanPabloAdameA,
7,Aguayo López Miguel Ángel,PRI,Mayoría Relativa,Colima,D,PROPIETARIO,MiguelAguayoMX,MiguelAguayoMX,MiguelAguayoTV,
8,Aguila Torres Claudia Elena,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,claudiaelena.aguila,,
9,Aguilar Rodríguez Aurora de la Luz,PAN,Representación Proporcional,Tlaxcala,D,PROPIETARIO,AuroraAguilarR,,,
10,Aguilar Vega Marcos,PAN,Mayoría Relativa,Querétaro,D,PROPIETARIO,MarcosAguilar,marcos.aguilarvegaii,MarcosAguilarVega,www.diputadomarcosaguilar.com
11,Aguilar Gil Lilia,PT,Representación Proporcional,Chihuahua,D,PROPIETARIO,liliadiputada,Lilia Aguilar,Liliaguilar08,www.liliaaguilar.com
12,Alavez Ruiz Aleida,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,ALEIDAALAVEZ,aleida.alavezruiz,Aleida Alavez,
13,Alcalá Padilla Leobardo,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,Leobardo_Alcala,Leobardo Alcalá,Leobardo Alcalá Padilla,www.leobardoalcala.org.mx
14,Alcalde Luján Luisa María,MC,Representación Proporcional,Distrito Federal,D,PROPIETARIO,LuisaAlcalde,Luisa.Alcalde.12,,
15,Aldana Prieto Luis Ricardo,PRI,Representación Proporcional,Veracruz,D,PROPIETARIO,,,,
16,Algredo Jaramillo Edilberto,PRD,Mayoría Relativa,Tlaxcala,D,PROPIETARIO,AlgredoDip,Edilberto.algredojaramillo,edilbertoalgredo,
17,Allende Cano Ana Isabel,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,anitzaisa,nitzacano,,
18,Almaguer Torres Felipe de Jesús,PAN,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,felipedejesusal,,,
19,Alonso Morelli Humberto,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO,MorelliBoca,HumbertoAlonsoMorelli,Humberto Alonso Morelli,
20,Alonso Raya Agustín Miguel,PRD,Representación Proporcional,Guanajuato,D,PROPIETARIO,AlonsoRaya_,aalonsoraya,,
21,Alvarado Sánchez Brenda María Izontli,PRI,Mayoría Relativa,México,D,PROPIETARIO,Bren_Alvarado,BrendaAlvaradoSanches,BrendaAlvaradoS,
22,Álvarez Tovar Martha Berenice,PAN,Representación Proporcional,Michoacán,D,PROPIETARIO,BereAlvarezT,BereniceAlvarezT,,
23,Amaya Araujo María Elvia,PRI,Representación Proporcional,Baja California,D,PROPIETARIO,,MariaElviaAmayadeHank,,
24,Amaya Reyes María de Lourdes,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,,,
25,Anaya Cortés Ricardo,PAN,Representación Proporcional,Querétaro,D,PROPIETARIO,RicardoAnayaC,RicardoAnayaC,Ricardo Anaya PAN QRO,www.ricardoanaya.com.mx
26,Anaya Gudiño Alfredo,PRI,Representación Proporcional,Michoacán,D,PROPIETARIO,,,,
27,Anaya Gutiérrez Alberto,PT,Representación Proporcional,Nuevo León,D,PROPIETARIO,,,,
28,Anaya Llamas José Guillermo,PAN,Representación Proporcional,Coahuila,D,PROPIETARIO,memo_anaya,Guillermo-Anaya-Llamas,MemoAnayaCoah,
29,Angulo Parra Carlos Fernando,PAN,Mayoría Relativa,Chihuahua,D,PROPIETARIO,CarlosAnguloP,CarlosAnguloXjUarez,Carlos Fernando Angulo Parra,
30,Añorve Baños Manuel,PRI,Representación Proporcional,Guerrero,D,PROPIETARIO,manuelanorve,manuelanorve, manuelanorveTV,
31,Antonio Altamirano Carol,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,CarolAntonioA,DipCarol,Carol Antonio,
32,Aquino Calvo Juan Jesús,PAN,Representación Proporcional,Chiapas,D,PROPIETARIO,Juan_Aquino_,Juan-Aquino-Calvo,Juan Aquino Calvo,
33,Araujo de la Torre Elsa Patricia,PRI,Representación Proporcional,Tamaulipas,D,PROPIETARIO,,,,
34,Arellano Guzmán Salvador,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,,chavarellano4,,
35,Argüelles Loya Consuelo,PAN,Representación Proporcional,Nuevo León,D,PROPIETARIO,CArguellesA,,,
36,Arias Pallares Luis Manuel,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,lariaspallares,luis.ariaspallares,,
37,Arroyo Ruiz Alma Jeanny,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,Jeanny_arroyo,Jeanny Arroyo de Cienfuegos,Jeanny Arroyo,
38,Arroyo Vieyra Francisco Agustín,PRI,Representación Proporcional,Guanajuato,D,PROPIETARIO,farroyov,FranciscoArroyoVieyra,arroyovieyra,
39,Astiazarán Gutiérrez Antonio Francisco,PRI,Mayoría Relativa,Sonora,D,PROPIETARIO,tonoastiazaran,,,
40,Astudillo Suárez Ricardo,PVEM,Mayoría Relativa,Querétaro,D,PROPIETARIO,rastudillo2012,ricardo.astudillosuarez,Ricardo Astudillo,
41,Athie Flores Kamel,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,KamelAthie,kamelathie,Kamel Athie,
42,Aubry de Castro Palomino Enrique,PVEM,Mayoría Relativa,Jalisco,D,PROPIETARIO,EnriqueAubry,EnriqueAubry,,www.enriqueaubry.com.mx
43,Aureoles Conejo Silvano,PRD,Mayoría Relativa,Michoacán,D,PROPIETARIO,SILVANO_A,SilvanoAureoles,Silvano Aureoles,
44,Avila Pérez José Angel,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,JoseAngel_Avila,joseangel.avilaperez.5,José Ángel Ávila,
45,Ayala Robles Linares Flor de Rosa,PRI,Representación Proporcional,Sonora,D,PROPIETARIO,florayalar,FlorAyalaRoblesLinares,florayalar,
46,Azuara Zúñiga Xavier,PAN,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,XavierAzuaraSLP,xavierazuara,XazAzuaraSLP,
47,Badillo Ramírez Darío,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,,dario.badilloramirez.5,,
48,Barajas Del Toro Salvador,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,Chava_Barajas_T,salvador.b.deltoro,,
49,Barba Mariscal Marco Antonio,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,marco_barba,MarcoBarbaM,,
50,Barcenas Nieves Delvim Fabiola,PRI,Mayoría Relativa,Querétaro,D,PROPIETARIO,,,,
51,Barrera Barrera Petra,PRI,Mayoría Relativa,Guanajuato,D,PROPIETARIO,,PetraBarrera,,
52,Barrera Estrada Rodimiro,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,,rodimiro.barreraestrada,Rodimiro Barrera Estrada,
53,Barrera Fortoul Laura,PRI,Mayoría Relativa,México,D,PROPIETARIO,LauraBarreraF,LBarreraFortoul,LauraBarreraFortoul,laurabarrerafortoul.net
54,Barrios Gómez Segués Agustín,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,Agustín-Barrios-Gómez,,
55,Barrueta Barón Noé,PRI,Mayoría Relativa,México,D,PROPIETARIO,noe_barrueta// NOEBARRUETA,noe.barruetabaron,NOEBARRUETADIPUTADO,
56,Rodrigo Chávez Contreras,PRD,Representación Proporcional,Distrito Federal,D,suplente,,rodrigo.chavezcontretas.1,,
57,Bautista Bravo Alliet Mariana,PRD,Mayoría Relativa,México,D,PROPIETARIO,allietmbautista,allietmariana.bautista.3,Alliet Bautista Bravo,
58,Bautista Cuevas Gloria,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,GloriaBautistaC,Gloria.bautistacuevas,,
59,Bautista López Víctor Manuel,PRD,Mayoría Relativa,México,D,PROPIETARIO,,victormanuel.bautistalopez.3,,
60,Bautista Villegas Óscar,PRI,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,OscarBV3,cumpliendocompromisos.OBV,,
61,Belaunzarán Méndez Fernando,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,ferbelaunzaran,fernando.belaunzaranmendez,Fernando Belaunzarán Méndez,
62,Beltrones Rivera Manlio Fabio,PRI,Representación Proporcional,Sonora,D,PROPIETARIO,MFBeltrones,Beltrones,Manlio Fabio Beltrones,www.beltrones.com
63,Benavides Castañeda José Alberto,PT,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,,,
64,Bernal Bolnik Sue Ellen,PRI,Mayoría Relativa,México,D,PROPIETARIO,Sue_Bernal,SueEllenBernal,,
65,Bernal Gutiérrez Andrés Marco Antonio,PRI,Representación Proporcional,Tamaulipas,D,PROPIETARIO,MarcoBernalG,MarcoA.BernalG,,
66,Berzunza Novelo Landy Margarita,PRI,Mayoría Relativa,Campeche,D,PROPIETARIO,,landy.berzunza,LandyBerzunza,
67,Blanco De Aquino Silvano,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,SilvanoBlanco,silvanoblancodeaquino,Silvano Blanco,
68,Bojórquez Javier Claudia Elizabeth,PRD,Mayoría Relativa,Tabasco,D,PROPIETARIO,ClaudiaBojorque,Claudia-Bojorquez,,
69,Bonilla Gómez Adolfo,PRI,Mayoría Relativa,Zacatecas,D,PROPIETARIO,fitobonilla,Adolfo-FITO-Bonilla,,
70,Bonilla Jaime Juana,PRD,Representación Proporcional,México,D,PROPIETARIO,,juana.bonillajaime,,
71,Bonilla Valdez Jaime,PT,Representación Proporcional,Baja California,D,PROPIETARIO,Jaime_BonillaV,DipJaimeBonillaValdez,Jaime Bonilla,www.jaimebonilla.com
72,Borboa Becerra Omar Antonio,PAN,Mayoría Relativa,Jalisco,D,PROPIETARIO,OMARBORBOA10,,,
73,Borges Pasos Teresita de Jesús,PRD,Representación Proporcional,Yucatán,D,PROPIETARIO,tereborgespasos,tere.borgespaso,,
74,Botello Montes José Alfredo,PAN,Representación Proporcional,Querétaro,D,PROPIETARIO,,,,
75,Bribiesca Sahagún Fernando,PANAL,Representación Proporcional,Guanajuato,D,PROPIETARIO,Ferbribiesca,FernandoBribiesca,,
76,Brito Lara Tomás,PRD,Mayoría Relativa,Tabasco,D,PROPIETARIO,tomasbritolara,,,
77,Bueno Torio Juan,PAN,Representación Proporcional,Veracruz,D,PROPIETARIO,juanbuenot,jbuenotorio,Juan Bueno Torio,www.juanbueno.com.mx
78,Caamal Mena José Angelino,PANAL,Representación Proporcional,Campeche,D,PROPIETARIO,DipAngelinoCM,José-Angelino-Caamal,,
79,Caballero Garza Benito,PRI,Mayoría Relativa,Nuevo León,D,PROPIETARIO,benitocaballero,benito.caballerogarza.3,,
80,Caballero Rosiñol Joaquín,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,Joaquin_Coatza,joaquin.caballerorosinol.3,joaquín caballero,
81,Cabañas Aparicio María Elia,PRI,Mayoría Relativa,Baja California,D,PROPIETARIO,,Maria-Elia-Cabañas-Aparicio,,
82,Cáceres de la Fuente Juan Francisco,PAN,Representación Proporcional,Tabasco,D,PROPIETARIO,jf_caceres,,,
83,Calderón Ramírez Leticia,PRI,Representación Proporcional,México,D,PROPIETARIO,LetiCalderonR,leticia.calderonramirez,Leticia Calderón Ramírez,
84,Calzada Arroyo Marco Antonio,PRI,Mayoría Relativa,México,D,PROPIETARIO,Marco_Calzada,marco.a.calzada.arroyo,,
85,Camarena García Felipe Arturo,PVEM,Mayoría Relativa,Guanajuato,D,PROPIETARIO,FelipeACamarena,felipe.camarenagarcia,,
86,Camarillo Ortega Rubén,PAN,Representación Proporcional,Aguascalientes,D,PROPIETARIO,,RubenCamarilloElCumplidos,,www.rubencamarillo.org.mx
87,Campos Córdova Lisandro Arístides,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,,lisandrocampos.cordova,,lisandrocampos.com
88,Cano Ayala María Elena,PRI,Representación Proporcional,Guanajuato,D,PROPIETARIO,,mariaelenacb1,,
89,Cantú Garza Ricardo,PT,Representación Proporcional,México,D,PROPIETARIO,,,,
90,Cantú Segovia Eloy,PRI,Representación Proporcional,Nuevo León,D,PROPIETARIO,EloyCantuS,Eloy-Cantú-Segovia,eloycantusegovia,www.eloycantu.org
91,Carbajal González Alejandro,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,Alejandro-Carbajal-González,,
92,Carbajal Hernández Juan Manuel,PRI,Mayoría Relativa,México,D,PROPIETARIO,JMCarbajalH,JMCarbajalh,carbajaltv,www.juanmanuelcarbajal.com
93,Cárdenas Cantú Miriam,PRI,Representación Proporcional,Coahuila,D,PROPIETARIO,MiriamCardenasC,miriam.cardenascantu,,
94,Cárdenas Del Avellano Enrique,PRI,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,cardenasenrique,enrique.cardenasdelavellanoii ,EnriqueCardenas2012,www.enriquecardenas.org.mx
95,Cárdenas Guízar Gabriel de Jesús,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO,CardenasGabriel,gabriel.cardenasguizar,Gabriel Cárdenas de Jesús Guízar,
96,Carpinteyro Calderón Purificación,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,Puri2010,puricarpinteyro,puricarpinteyro,
97,Carreño Mijares Angelina,PRI,Mayoría Relativa,México,D,PROPIETARIO,AngelinaCM_,Angelina-Carreño-Mijares,Angelina CM,
98,Carreño Muro Genaro,PAN,Mayoría Relativa,Guanajuato,D,PROPIETARIO,Genaro_Carreno,GenaroCarreno,GenaroCarreno,www.genarocarreno.com
99,Carreón Cervantes Verónica,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,Vero_Carreon,Vero.Carreon.Cervantes,,
100,Carrillo Huerta Mario Miguel,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,mariocarrillomx,MarioCarrilloHuerta,,
101,Castaños Valenzuela Carlos Humberto,PAN,Representación Proporcional,Sinaloa,D,PROPIETARIO,carloscastanos,,,www.carloscastanos.com/
102,Castillo Rodríguez Minerva,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,minervacr1,minervacastillorodriguez,,http://minervadiputada.blogspot.mx/
103,Castillo Valdez Benjamín,PRI,Mayoría Relativa,Baja California,D,PROPIETARIO,,Benjamin-Castillo-Valdez,,http://benjamincastillo.mx/
104,Castro Trenti Fernando Jorge,PRI,Representación Proporcional,Baja California,D,PROPIETARIO,FCastroTrenti ,CastroTrenti,,
105,Cedillo Hernández Ángel,PRD,Representación Proporcional,México,D,PROPIETARIO,,angel.cedillohernandez,,
106,Cerda Franco María Sanjuana,PANAL,Representación Proporcional,Nuevo León,D,PROPIETARIO,sanjuanitacerda ,,,
107,Ceseñas Chapa María del Socorro,PRD,Representación Proporcional,Nuevo León,D,PROPIETARIO,socorrocesenas,socorrocesenaschapa,,
108,Chan Lugo Sergio Augusto,PAN,Representación Proporcional,Yucatán,D,PROPIETARIO,DipChanLugo,sergio.chan.14,,
109,Charleston Hernández Fernando,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,fercharleston,FernandoCharleston,fercharleston,
110,Chávez Dávalos Sergio Armando,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,SergioChavez_D,sergio.chavezdavalos,,
111,Contreras Ceballos Armando,PRD,Mayoría Relativa,Michoacán,D,PROPIETARIO,,armando.contrerasceballos,,
112,Copete Zapot Yazmín de los Angeles,PRD,Representación Proporcional,Veracruz,D,PROPIETARIO,,,,
113,Córdova Bernal Martha Beatriz,MC,Representación Proporcional,Chihuahua,D,PROPIETARIO,,,,
114,Córdova Díaz Luis Armando,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,,dipluiscordova,,
115,Córdova Morán Frine Soraya,PRI,Representación Proporcional,Puebla,D,PROPIETARIO,,,,
116,Corona Nakamura María del Rocío,PRI,Representación Proporcional,Jalisco,D,PROPIETARIO,RocioCoronaNkm,rociocoronanakamura,,
117,Coronado Quintanilla Alberto,PAN,Mayoría Relativa,Nuevo León,D,PROPIETARIO,Coronadomx,Coronadomx,,
118,Coronato Rodríguez José Francisco,MC,Mayoría Relativa,Morelos,D,PROPIETARIO,f_coronato,franciscocoronato,,www.franciscocoronato.com
119,Corrales Corrales Francisca Elena,PRI,Mayoría Relativa,Sinaloa,D,PROPIETARIO,paquiscorrales,paquis.corrales,,
120,Cortázar Lara Gerardo Maximiliano,PAN,Representación Proporcional,Distrito Federal,D,PROPIETARIO,maxcortazarl,,,
121,Cortés Berumen Isaías,PAN,Representación Proporcional,Jalisco,D,PROPIETARIO,Isaias_Cortes,isaias.cortes.73,,
122,Cruz Mendoza Eufrosina,PAN,Representación Proporcional,Oaxaca,D,PROPIETARIO,EufrosinaOax,Eufrosina-Cruz-Mendoza/127327573950848,,http://www.quiego.org/
123,Cruz Morales Maricruz,PRI,Representación Proporcional,México,D,PROPIETARIO,,maricruz.c.morales,,
124,Cruz Ramírez Arturo,PRD,Mayoría Relativa,México,D,PROPIETARIO,,,,
125,Cuéllar Reyes Fernando,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,fernando.cuellarreyes,,
126,Cuéllar Steffan Antonio,PVEM,Representación Proporcional,Aguascalientes,D,PROPIETARIO,Cuellar_Steffan,antonio.c.steffan,,
127,Cuevas Mena Mario Alejandro,PRD,Representación Proporcional,Yucatán,D,PROPIETARIO,,,,
128,Curi Naime Alberto,PRI,Mayoría Relativa,México,D,PROPIETARIO,AlbertoCuri,AlbertoCuriNaime,,
129,Dávila Delgado Mario Alberto,PAN,Mayoría Relativa,Coahuila,D,PROPIETARIO,mario_dipancoah,mario.daviladelgado,,http://mariodavila.mx/
130,De Jesús Alejandro Carlos,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,,carlos.dejesusalejandro.7,,
131,De la Cruz Requena Rosalba,PRI,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,Rosalbasextodis,Rosalba-De-la-Cruz-Requena/284018958344352,,
132,De la Rosa Anaya Andrés,PAN,Representación Proporcional,Baja California,D,PROPIETARIO,Adelarosa14//AdelaRosaBC,,,
133,De la Rosa Escalante Arturo,PAN,Mayoría Relativa,Baja California Sur,D,PROPIETARIO,arturodelarosa_,Arturodelarosadiputado,,
134,De la Rosa Peláez Sebastián Alfonso,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,Delarosapelaez,sebastiandelarosapelaez,,http://sebastiandelarosa.blogspot.mx/
135,De la Vega Membrillo Jorge Federico,PRD,Mayoría Relativa,México,D,PROPIETARIO,,jorge.delavegamembrillo,,
136,De las Fuentes Hernández Fernando Donato,PRI,Mayoría Relativa,Coahuila,D,PROPIETARIO,,fernando.delasfuentes.1,,
137,Del Ángel Acosta Jorge,PRI,Representación Proporcional,Veracruz,D,PROPIETARIO,JDAADiputado,jorge.delangelacosta,,
138,Del Moral Vela Paulina Alejandra,PRI,Mayoría Relativa,México,D,PROPIETARIO,AlejandraDMV,AlejandraDelMoralVela,alejandradelmoral1,
139,Delgadillo González Claudia,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,ClauDelgadillo1,Claudia-Delgadillo-González/168661083194412,,www.esconclaudia.org
140,Díaz Athié Antonio de Jesús,PRI,Mayoría Relativa,Chiapas,D,PROPIETARIO,aDiazAthie,,,
141,Díaz Palacios Víctor Emanuel,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,victordoficial,victordoficial,,
142,Díaz Trujillo Alberto,PAN,Mayoría Relativa,México,D,PROPIETARIO,betodiazt,alberto.d.trujillo.9,,
143,Diego Cruz Eva,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,evdiec,eva.diegocruz,,
144,Diez Francos Juan Manuel,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,juanmanuel10f//DiezFrancos,JuanManuelDiezFrancos,,
145,Doger Guerrero José Enrique,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,EnriqueDogerPue,Enrique-Doger-Guerrero/114847730537,,
146,Domínguez Zepeda Pedro Ignacio,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,Pedro_Dgz,PedroDgz,,
147,Dorador Pérez Gavilán Rodolfo,PAN,Representación Proporcional,Durango,D,PROPIETARIO,Dorador1,  ,,http://www.dorador.org/datos/pdf/acercade.pdf
148,Duarte Murillo José Ignacio,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,Nacho_Duarte_,nachoduartemurillo,NachoDuarteMurillo,http://nachoduarte.com/
149,Duarte Ortuño Catalino,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,catalino_duarte,catalino.duarteortuno.5,,
150,Durazo Montaño Francisco Alfonso,MC,Representación Proporcional,Sonora,D,PROPIETARIO,alfonsodurazo,,,
151,Elizondo Ramírez Irma,PRI,Mayoría Relativa,Coahuila,D,PROPIETARIO,,,irmaelizondo,http://www.irmaelizondo.com/
152,Escajeda Jiménez José Rubén,PRI,Mayoría Relativa,Durango,D,PROPIETARIO,ruben_escajeda,ruben.escajedajimenez/270016893080471,,
153,Escobar y Vega Arturo,PVEM,Representación Proporcional,Distrito Federal,D,PROPIETARIO,arturoesc,,,
154,Espinosa Cházaro Luis Angel Xariel,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,Luischazaro11,luis.chazaro.5,,
155,Esquivel Zalpa José Luis,PRD,Mayoría Relativa,Michoacán,D,PROPIETARIO,JOSELUISESQUIV9,joseluis.esquivelzalpa,,
156,Félix Chávez Faustino Francisco,PRI,Mayoría Relativa,Sonora,D,PROPIETARIO,FaustinoFelix,,,
