num,nombre,partido,eleccion,entidad,camara,propietario,twitter,facebook,youtube,pagina_personal
157,Félix Hays Rubén Benjamín,PANAL,Representación Proporcional,Sinaloa,D,PROPIETARIO,renovatiomx,ruben.felixhays,,
158,Fernández Clamont Francisco Javier,PRI,Mayoría Relativa,México,D,PROPIETARIO,,francisco.clamont,,
159,Flemate Ramírez Julio César,PRI,Mayoría Relativa,Zacatecas,D,PROPIETARIO,Jflemate,flematediputado,,
160,Flores Aguayo Uriel,PRD,Mayoría Relativa,Veracruz,D,PROPIETARIO,UrielFA,uriel.floresaguayo,,
161,Flores Flores Enrique Alejandro,PAN,Representación Proporcional,San Luis Potosí,D,PROPIETARIO,enriqueflores21,enrique.a.flores.7,,
162,Flores Gómez José Luis Cruz,PRI,Mayoría Relativa,México,D,PROPIETARIO,,JoseLuisCruzFloresGomez,,
163,Flores Méndez José Luis,PRI,Mayoría Relativa,Coahuila,D,PROPIETARIO,flores_mendez,joseluis.floresmendez,,http://jlfloresmendez.blogspot.mx/
164,Flores Salazar Guadalupe Socorro,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,guadalupe.floressalazar.90,,
165,Flores Sandoval Patricio,PRI,Representación Proporcional,Jalisco,D,PROPIETARIO,,,,
166,Focil Pérez Juan Manuel,PRD,Representación Proporcional,Tabasco,D,PROPIETARIO,jmfocil,juanmanuel.focilperez,,
167,Fuentes Solís Víctor Oswaldo,PAN,Mayoría Relativa,Nuevo León,D,PROPIETARIO,victorfuentesmx,victorfuentessolis,victorfuentesmx,
168,Fuentes Téllez Adriana,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,AdrianaFuentesT,AdrianaFuentesT,,
169,Fujiwara Montelongo René Ricardo,PANAL,Representación Proporcional,Distrito Federal,D,PROPIETARIO,renefuji,rene.f.montelongo,,http://renefujiwara.net/
170,Funes Velázquez Erika Yolanda,PRI,Representación Proporcional,México,D,PROPIETARIO,erifunes,,,
171,Galindo Delgado David Cuauhtémoc,PAN,Mayoría Relativa,Sonora,D,PROPIETARIO,TemoGalindo,TEMOGD,,
172,Galindo Quiñones Heriberto Manuel,PRI,Representación Proporcional,Sinaloa,D,PROPIETARIO,HGalindoQ,Heriberto-Galindo-Quinones/248880631852134,,
173,Galván Villanueva Raúl Santos,PRI,Representación Proporcional,Sinaloa,D,PROPIETARIO,RSGV44,,,
174,Gamboa Song Lizbeth Loy,PRI,Representación Proporcional,Quintana Roo,D,PROPIETARIO,,LizbethGamboaSong,lizbethgamboasong,
175,Garay Cabada Marina,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,MarinaCercaDeTi,MarinaGarayCabada,,http://marinagaraypri.com/
176,García Ramírez José Guadalupe,PAN,Mayoría Relativa,Querétaro,D,PROPIETARIO,LupeGarcia_PAN,,,
177,García Conejo Antonio,PRD,Mayoría Relativa,Michoacán,D,PROPIETARIO,,AntonioGarciaConejo,,
178,García de la Fuente Mónica,PVEM,Representación Proporcional,Aguascalientes,D,PROPIETARIO,,,,
179,García Fernández María de las Nieves,PRI,Representación Proporcional,Oaxaca,D,PROPIETARIO,DraNievesGarcia,ra-María-de-las-Nieves-García-Fernández/124079361045736,,
180,García García Héctor,PRI,Mayoría Relativa,Nuevo León,D,PROPIETARIO,LicHectorGarcia,,,
181,García González Carlos Alberto,PAN,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,_CarlosGarciaG,c.a.garciaglez,,
182,García Hernández Josefina,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,,,,
183,García Medina Amalia Dolores,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,,AmaliaDGarciaMedina,AGMentrevistas,
184,García Olmedo María del Rocío,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,rgolmedo,RocioGarciaOlmedo,,
185,García Reyes Verónica,PRD,Representación Proporcional,Michoacán,D,PROPIETARIO,,veronica.garciareyes.90,,
186,García Rojas Mariana Dunyaska,PAN,Representación Proporcional,Veracruz,D,PROPIETARIO,DunyaskaPANVer,nuevaetapa,,http://www.marianadunyaska.com/
187,García de la Cadena Romero María del Carmen,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,MariCarmenTehua,maricarmengarciadelacadena,,
188,Garfias Gutiérrez Lucila,PANAL,Representación Proporcional,México,D,PROPIETARIO,DipLGarfias,lucila.garfias,,
189,Garza Cadena Ana Lilia,PVEM,Representación Proporcional,Baja California,D,PROPIETARIO,algcadena,ana.l.cadena,,
190,Garza Moreno María Esther,PRI,Mayoría Relativa,Guanajuato,D,PROPIETARIO,,eliminado3698,,
191,Garza Ruvalcaba Marcelo,PRD,Representación Proporcional,Nuevo León,D,PROPIETARIO,,,,
192,Gastélum Buenrostro Juan Manuel,PAN,Mayoría Relativa,Baja California,D,PROPIETARIO,JmGastelumB,juanmanuel.gastelum.3,,
193,Gaudiano Rovirosa Gerardo,PRD,Mayoría Relativa,Tabasco,D,PROPIETARIO,GerardoGaudiano,gerardo.gaudiano,,http://www.gerardogaudiano.com/
194,Gauna Ruiz de León Celia Isabel,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,celiagauna,CeliaGaunaRuiz,,
195,Gómez Ramírez Raúl,PAN,Mayoría Relativa,Guanajuato,D,PROPIETARIO,,DipRaulGomezRamirez,,
196,Gómez Carmona Blanca Estela,PRI,Mayoría Relativa,México,D,PROPIETARIO,blancaegomez23,blancaestelagomezcarmona,,
197,Gómez Gómez Luis,PRI,Mayoría Relativa,Chiapas,D,PROPIETARIO,,,,
198,Gómez Gómez Pedro,PRI,Mayoría Relativa,Chiapas,D,PROPIETARIO,,Pedro-Gomez-Gomez/106624386085275,,
199,Gómez Míchel Gabriel,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,,DrGabrielGomezMichel,,
200,Gómez Olguín Roy Argel,PRI,Mayoría Relativa,Nayarit,D,PROPIETARIO,RoyGomezOlguin,roy.g.olguin,,
201,Gómez Pozos Merilyn,MC,Representación Proporcional,Jalisco,D,PROPIETARIO,MerilynGomezP,MerilynGomezPozos,,
202,Gómez Tueme Amira Griselda,PRI,Representación Proporcional,Tamaulipas,D,PROPIETARIO,,,,
203,González Serna José Ángel,PAN,Mayoría Relativa,Aguascalientes,D,PROPIETARIO,Diputado_Paquin,joseangelglezoficial,José Ángel González Paquín,www.joseangelgonzalezpaquin.org
204,González Aguilar Lázara Nelly,PAN,Representación Proporcional,Tamaulipas,D,PROPIETARIO,nellysenadora,lazaranelly.gonzalezaguila,,www.nellygonzalez.org
205,González Barrios Rodrigo,PRD,Representación Proporcional,Nayarit,D,PROPIETARIO,prensargb,RGBnay,RGBnay,www.rodrigogonzalezbarrios.com
206,González Bautista Valentín,PRD,Mayoría Relativa,México,D,PROPIETARIO,,,,
207,González Carrillo Adriana,PAN,Representación Proporcional,México,D,PROPIETARIO,AdriGlezCar,agc.contectodirecto,adrglezcar,www.adrianagonzalez.com.m
208,González Cruz Cristina,PRI,Mayoría Relativa,México,D,PROPIETARIO,cristinaglez39,Cristina-gonzalez-cruz,cristinaglez39,
209,González Farías Eligio Cuitláhuac,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,G_ELIGIO8,Eligio.Gonzalez,,eligiogonzalezfarias.com
210,González Gómez Cecilia,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,ceciliadiputada,,,
211,González Luna Bueno Federico José,PVEM,Representación Proporcional,Veracruz,D,PROPIETARIO,,,,
212,González Magallanes Alfa Eliana,PRD,Representación Proporcional,Coahuila,D,PROPIETARIO,,,,
213,González Manríquez Víctor Rafael,PAN,Representación Proporcional,Oaxaca,D,PROPIETARIO,VictorGoman,vgonzalezmanriquez,,
214,González Martínez Olivares Irazema,PRI,Mayoría Relativa,México,D,PROPIETARIO,Irazema_G,irazemagonzalez,,www.irazemagonzalez.com.mx
215,González Morfín José,PAN,Representación Proporcional,Michoacán,D,PROPIETARIO,jglezmorfin,José-González-Morfín,,
216,González Reséndiz Rafael,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,rafaelgresendiz,RafaGonzález'5,,
217,González Roldán Luis Antonio,PANAL,Representación Proporcional,México,D,PROPIETARIO,,,,
218,González Valdez Marco Antonio,PRI,Mayoría Relativa,Nuevo León,D,PROPIETARIO,,marcoprinl,MARCO ANTONIO GONZÁLEZ VALDEZ,
219,González Vargas Francisco,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,PacoGonzalezV,Paco.Glez.V,PacoGlezV2012,
220,Gordillo Castillo Néstor Octavio,PAN,Mayoría Relativa,Puebla,D,PROPIETARIO,NestorGordillo,NestorGordillo.PAN,,www.nestorgordillo.org.mx
221,Grajales Palacios Francisco,PRI,Mayoría Relativa,Chiapas,D,PROPIETARIO,pacograj,francisco.grajalespalacios,,
222,Gualito Castañeda Rosalba,PRI,Mayoría Relativa,México,D,PROPIETARIO,RosalbaGualito,rosalba.gualito,Rosalba Gualito,
223,Guerra Garza Abel,PRI,Mayoría Relativa,Nuevo León,D,PROPIETARIO,AbelGuerraG,Abel-Guerra,abelguerragza,www.abelguerra.com
224,Guerrero López Judit Magdalena,PVEM,Mayoría Relativa,Zacatecas,D,PROPIETARIO,JuditGuerrero3,JuditGuerreroL,juditguerrero,www.juditguerrero.mx
225,Guevara González Javier Filiberto,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,filiguevaraglez,,,
226,Gurrión Matías Samuel,PRI,Mayoría Relativa,Oaxaca,D,PROPIETARIO,samygurrion,Samuel-Gurrión,,
227,Gutiérrez Álvarez Harvey,PRI,Mayoría Relativa,Chiapas,D,PROPIETARIO,HarveyGutierrez,harvey.gutierrez.alvarez,HARVEY GUTIERREZ,
228,Gutiérrez de la Garza Héctor Humberto,PRI,Mayoría Relativa,Nuevo León,D,PROPIETARIO,HectorHGutierre,HectorGutierrezG,,www.hectorgutierrez.com
229,Guzmán Díaz Delfina Elizabeth,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,GuzmanDelfina,Delfina-Guzman,,
230,Heredia Lizárraga Martín Alonso,PAN,Mayoría Relativa,Sinaloa,D,PROPIETARIO,MartinHeredia8,MartínHerediaH,,www.herediamazatlan.wordpress
231,Hernández Burgos Gaudencio,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,GauHernandez,GaudencioHB,,
232,Hernández González Noé,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,NoeHdez_2012,NoeHernandez.diputado,,
233,Hernández Íñiguez Adriana,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,Adriana_hi,ady.hernandez.lp,,www.adrianahernandez.mx
234,Hernández Morales Mirna Esmeralda,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,mirnahermo,mirna.hernandez.965,,
235,Hernández Tapia Gerardo Xavier,PRI,Mayoría Relativa,México,D,PROPIETARIO,,,,
236,Herrera Delgado Jorge,PRI,Mayoría Relativa,Durango,D,PROPIETARIO,jherreradelgado,Jorge-Herrera-Delgado,,
237,Hirata Chico Gilberto Antonio,PRI,Mayoría Relativa,Baja California,D,PROPIETARIO,gilbertohiratac,gilbertohirata,gilbertohiratatv,
238,Huerta Ladrón de Guevara Manuel Rafael,PT,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,,,
239,Huerta Rea María de Jesús,PRI,Representación Proporcional,Nuevo León,D,PROPIETARIO,maryhuertarea,,,
240,Huidobro González Zuleyma,MC,Representación Proporcional,Puebla,D,PROPIETARIO,ZuleymaHuidobro,ZuHuidobro,,
241,Hurtado Gallegos José Antonio,MC,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,DIP_JOSEANTONIO,DIPUTADOJOSEANTONIOHURTADO,,
242,Inzunza Montoya Alfonso,PRI,Mayoría Relativa,Sinaloa,D,PROPIETARIO,Ponchin_Inzunza,alfonso.inzunzamontoya,Alfonso Inzunza Montoya,
243,Issa Salomón Juan Marcos,PRI,Mayoría Relativa,Coahuila,D,PROPIETARIO,salomonjm,,,
244,Jardines Fraire Jhonatan,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,jhonjardines,jhonjardines,,
245,Jarquín López Hugo,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,jarquin_hugo,Hugo-Jarquin,,
246,Jiménez Castillo Blanca,PAN,Mayoría Relativa,Puebla,D,PROPIETARIO,"BlancaJC
",Bjimcas,Blancajimenezc,www.blancajimenezaccion.blogspot.com
247,Jiménez Cerrillo Raquel,PAN,Representación Proporcional,Querétaro,D,PROPIETARIO,DipRaquelJC,Raquel-Jimenez-Cerrillo,,
248,Jiménez Esquivel María Teresa,PAN,Mayoría Relativa,Aguascalientes,D,PROPIETARIO,TereJimenezE,,,
249,Jorrín Lozano Víctor Manuel,MC,Mayoría Relativa,Guerrero,D,PROPIETARIO,Vjorrin,,,
250,Juárez Piña Verónica Beatriz,PRD,Representación Proporcional,Jalisco,D,PROPIETARIO,juarezvero,,,
251,King de la Rosa Raymundo,PRI,Mayoría Relativa,Quintana Roo,D,PROPIETARIO,raymundoking,kingraymundo,raymundokingdelarosa,www.raymundokingdelarosa.com.mx
252,Labastida Sotelo Karina,PAN,Representación Proporcional,México,D,PROPIETARIO,,karina.labastidasotelo,,
253,Larrazábal Bretón Fernando Alejandro,PAN,Mayoría Relativa,Nuevo León,D,PROPIETARIO,FerLarrazabal,FernandoLarrazabal,,
254,León Mendívil José Antonio,PRD,Representación Proporcional,Veracruz,D,PROPIETARIO,,joseantonio.leonmendivil,,
255,Licea González Margarita,PAN,Representación Proporcional,Jalisco,D,PROPIETARIO,MargaritaLicea,margarita.licea,,
256,Liceaga Arteaga Gerardo Francisco,PRI,Mayoría Relativa,México,D,PROPIETARIO,GerardoLiceaga,Dip-Gerardo-Liceaga-Arteaga,,
257,Llanas Alba José Alejandro,PAN,Mayoría Relativa,Tamaulipas,D,PROPIETARIO,AlexLlanasAlba,AlexLlanasAlba,,
258,López Alvarado Jaime Chris,PRI,Mayoría Relativa,Baja California,D,PROPIETARIO,ChrisLopezBC,ChrisLopezBC,,
259,López Cándido José Arturo,PT,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,jalopezcandido,diparchi,,
260,López Cisneros José Martín,PAN,Mayoría Relativa,Nuevo León,D,PROPIETARIO,,,,
261,López González Roberto,PRD,Representación Proporcional,Jalisco,D,PROPIETARIO,,,,
262,López Landero Leticia,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO,LetyLopez_2012,,,
263,López Landero Tomás,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,TomasLopezL,tomaslopezl,tomaslopezlandero,
264,López López Raudel,PAN,Representación Proporcional,Aguascalientes,D,PROPIETARIO,,raudel.calvillo,,
265,López Moreno Lourdes Adriana,PVEM,Mayoría Relativa,Chiapas,D,PROPIETARIO,Lulu_Chiapas,LourdesLopezPVEMD1,,www.lourdeslopezmoreno.com.mx
266,López Noriega Alejandra,PAN,Mayoría Relativa,Sonora,D,PROPIETARIO,alejandralopesn,AlejandraLopezNoriega.org,AlejandraLopezN,www.alejandralopeznoriega.com
267,López Rosado Roberto,PRD,Representación Proporcional,Oaxaca,D,SUPLENTE,rosadolpez,roberto.lopezrosado.7,RobertoRosado16,
268,Carlos Octavio Castellanos Mijares,PVEM,Representación Proporcional,Chiapas,D,SUPLENTE,,,,
269,López Suárez Roberto,PRD,Representación Proporcional,Zacatecas,D,PROPIETARIO,LopezSurez,roberto.lopezsuarez.5,,
270,López Zavala Javier,PRI,Representación Proporcional,Puebla,D,PROPIETARIO,JavierLZavala//JavierLZavala2,JavierLopezZavala,,
271,Lorenzini Rangel Julio César,PAN,Mayoría Relativa,Puebla,D,PROPIETARIO,,,,
272,Lugo Barriga Patricia,PAN,Representación Proporcional,Colima,D,PROPIETARIO,Patricia_LugoB,patricia.lugobarriga,,
273,Luna Porquillo Roxana,PRD,Representación Proporcional,Puebla,D,PROPIETARIO,RoxanaLunaP,roxana.luna.961,,
274,Macías Sandoval Raúl,PRI,Representación Proporcional,México,D,PROPIETARIO,,,,
275,Madrid Tovilla Arely,PRI,Representación Proporcional,Chiapas,D,PROPIETARIO,Arely_Madrid,Arely-Madrid-Tovilla,arelymadridtovilla,
276,Magaña Zepeda María Angélica,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,,angelica.prijicotepec,,
277,Maldonado Hernández Fernando Alfredo,PRI,Mayoría Relativa,México,D,PROPIETARIO,FerMaldonadoDip,FernandoMaldonadoHDZ,FernandoMaldonadoHDZ,www.fernandomaldonado.mx
278,Maldonado Salgado José Valentín,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,,,
279,Manríquez González Víctor Manuel,PRD,Representación Proporcional,Michoacán,D,PROPIETARIO,,victormanuelmanriquezgonzalez,,
280,Manzur Quiroga José Sergio,PRI,Mayoría Relativa,México,D,PROPIETARIO,Manzur_Jose,,JoséManzurQuiroga,www.josemanzurquiroga.mx
281,Márquez Martínez José Luis,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,ppmarquez12,PepeMarquezMartinez,,
282,Márquez Velasco Silvia,PRI,Mayoría Relativa,México,D,PROPIETARIO,SilviaMarquezVe,silvia.marquezvelasco1,,
283,Martel Cantú Laura Ximena,PVEM,Representación Proporcional,Distrito Federal,D,PROPIETARIO,XimenaMartelC,,,
284,Martínez Cárdenas Esther Angélica,PRI,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,,EstherAngelicaMartinez,,
285,Martínez Martínez Juan Luis,MC,Mayoría Relativa,Oaxaca,D,PROPIETARIO,JLMartinez62,,,
286,Martínez Rojas Andrés Eloy,PRD,Mayoría Relativa,Morelos,D,PROPIETARIO,eloycam2012,eloymartinezrojas,,
287,Martínez Santillán María del Carmen,PT,Representación Proporcional,Michoacán,D,PROPIETARIO,,,,
288,Mayorga Delgado Nuvia Magdalena,PRI,Representación Proporcional,Hidalgo,D,PROPIETARIO,Nuvia_Mayorga,NuviaMayorga,,
289,Medina Filigrana Marcos Rosendo,PRD,Mayoría Relativa,Tabasco,D,PROPIETARIO,Marcos_Rosendo,marcosrosendo.medinafiligrana,,
290,Medrano Galindo Gabriela,PVEM,Representación Proporcional,Quintana Roo,D,PROPIETARIO,gabymedrano83,,,
291,Mejía Berdeja Ricardo Sóstenes,MC,Representación Proporcional,Guerrero,D,PROPIETARIO,Ricardomeb,ricardo.mejiaberdeja,RicardoMejiaBerdeja,
292,Mejía Guardado Julisa,PRD,Representación Proporcional,México,D,PROPIETARIO,,,,
293,Melchor Vásquez Angélica Rocío,PRD,Representación Proporcional,Oaxaca,D,PROPIETARIO,rociomvasquez,angelicarocio.melchorvasquez,,
294,Méndez Denis Lorena,MC,Mayoría Relativa,Tabasco,D,PROPIETARIO,loremendezd ,lorenadiputada,,
295,Méndez Martínez Mario Rafael,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,DiputadoRafael,,,
296,Mendoza Curiel María Leticia,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,lety_mc,,,www.leticiamendoza9.com
297,Mendoza Garza Jorge,PRI,Representación Proporcional,Nuevo León,D,PROPIETARIO,,,,
298,Mercado Gallegos Sonia Catarina,PRI,Mayoría Relativa,Durango,D,PROPIETARIO,katy_mercado,katy.mercadogallegos,KatyMercado,
299,Merlín García María del Rosario,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,RosarioMerlin,rosario.merlingarcia,,
300,Micalco Méndez Rafael Alejandro,PAN,Representación Proporcional,Puebla,D,PROPIETARIO,rafamicalco,rafael.micalcomendez,,
301,Mícher Camarena Martha Lucía,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,malumicher,MaluMicher,,http://www.malumicher.mx/
302,Miranda Munive Emilse,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,EmilseMiranda1,EmilseMirandaMunive,,
303,Miranda Salgado Marino,PRD,Mayoría Relativa,Guerrero,D,PROPIETARIO,MarinoMiranda,marino.mirandasalgado,,
304,Moctezuma Oviedo María Guadalupe,PRD,Representación Proporcional,Veracruz,D,PROPIETARIO,,guadalupe.moctezumaoviedo,,
305,Mojica Morga Teresa de Jesús,PRD,Representación Proporcional,Guerrero,D,PROPIETARIO,teremojica,,teremojicamorga,
306,Mondragón González María Guadalupe,PAN,Representación Proporcional,México,D,PROPIETARIO,Lupita_Mondrag,guadalupe.mondragon,,
307,Monreal Ávila Ricardo,MC,Representación Proporcional,Distrito Federal,D,PROPIETARIO,RicardoMonrealA,ricardomonreala,,
308,Montalvo Hernández Ramón,PRD,Representación Proporcional,México,D,PROPIETARIO,,ramon.montalvohernandez2,,
309,Montano Guzmán José Alejandro,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,lejandromontano,josealejandromontanoguzman,,
310,Montes Alvarado Abraham,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,AbrahamMontesD5,AbrahamMontesAlvarado,,
311,Morales Flores Jesús,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,JMFdiputado,jesus.moralesflores.921,,
312,Morales López Carlos Augusto,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,carlosaugusto24,carlosaugusto.moraleslopez,,
313,Morales Vargas Trinidad Secundino,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,,,,
314,Moreno Árcega José Isidro,PRI,Mayoría Relativa,México,D,PROPIETARIO,IsidroMor,isidromorenoarcega,,
315,Moreno Cárdenas Rafael Alejandro,PRI,Representación Proporcional,Campeche,D,PROPIETARIO,alitomorenoc,,,
316,Moreno Montoya José Pilar,PRI,Mayoría Relativa,Aguascalientes,D,PROPIETARIO,Jpilarmoreno,PilarMorenoMontoya,,http://www.pilarmoreno.org/
317,Moreno Rivera Israel,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,IsraelMorRiv,israelmorenor,,
